country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.3k,30.8k,26.7k,26.3k,17k,14k,15k,16.1k,23.2k,30.4k,37.1k,39.2k,62.3k,75.3k,85.4k,259k,369k,334k,310k,255k,239k
Angola,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5490,9850,14.3k,11.7k,9540,8340,1580,788,734,696,710,773,1160,1440,1720,3250,4770,7820,8900,10.8k,12.3k
Albania,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2820,3970,4990,4530,3320,2570,2280,1650,1810,1590,1350,2190,3720,9770,15.1k,42.2k,23.8k,18.8k,21.1k,19k,17.6k
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,5,5,5,0,5,5,0,0,0,0,0,0,5,5,5,0,0,0
United Arab Emirates,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,29,36,22,5,15,10,10,8,22,24,6,13,41,68,103,160,207,272,183,176
Argentina,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1560,1450,1330,1130,500,285,176,117,139,154,84,54,41,71,102,160,219,352,489,932,1170
Armenia,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5230,6090,5670,4970,4040,4340,5400,3990,3760,4090,2950,2650,2890,5360,6290,8490,13.1k,14.9k,13.7k,11.1k,8850
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,41,22,13,7,8,0,25,41,32,32,35,28,15,12,30,63,47,66,51
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,14,5,7,0,5,0,9,9,10,5,5,5,0,0,10,10,17,50,12
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,11,5,0,16,5,0,0,0,0,5,10,0,5,5,26,10,10,0
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5280,5740,4990,4630,3950,4120,3100,1900,1880,2470,2070,2190,2190,3610,4390,5210,8100,9540,9320,8240,6430
Burundi,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3630,3910,7440,8050,7850,8260,5520,7040,6630,4850,7490,9500,13k,14.4k,19.4k,26.9k,24.4k,60.4k,53.4k,53.8k,50.2k
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,24,11,17,20,35,10,27,24,6,0,13,31,21,37,20,37,79,106,62
Benin,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,182,226,247,211,272,154,155,179,199,225,269,428,501,684,1140,1150,1130,1080,1220,1330
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,242,180,150,112,199,193,254,310,377,499,337,504,937,1570,2690,4200,5560,4950,5000,5090
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3320,3440,4830,8270,9340,10.2k,4010,7330,6710,1830,6490,5240,8160,22.9k,21.6k,30.5k,25.9k,68.1k,58.8k,62.9k,64.6k
Bulgaria,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,1510,1750,1370,1220,1210,821,407,295,434,124,183,136,177,187,207,258,316,367,344,350
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,5,5,5,18,22,14,16,10,0,24,72,103,89,98,81,118,172,136,156,118
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,7,26,163,18,19,18,22,23,26,32,28,35,32,27,40,80,119,235,391,530,695
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4310,4180,5930,2190,1180,1820,1690,1110,1160,1150,1340,1950,2790,4140,6570,7020,3110,1890,1620,1490,1360
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,766,1130,2070,2100,1400,1430,1700,1200,1080,975,737,910,1010,870,931,1470,1990,2860,3280,4010,4700
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,30,33,28,23,24,14,10,17,16,10,14,5,53,83,96,160,206,219,278,314
Bolivia,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,160,492,485,380,352,424,421,153,162,134,152,162,201,262,342,411,865,1000,1240,1340
Brazil,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,794,1150,1270,1010,590,429,298,356,361,241,197,242,551,1190,2150,3760,6790,8570,12k,16.9k
