country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,50,38,60k,32.1k,19.1k,19.6k,18.8k,5,0,0,0,10,0,24,31,31,34,43,37,36,6430,3010,16.2k,16.9k,300k,258k,59.8k,75.9k,72.2k,72.2k,72.3k
Angola,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10k,235k,142k,66k,75k,91.7k,96.3k,96.3k,92.3k,91.5k,92.3k,91.2k,90.3k,12.9k,11.6k,11k,11k,10.9k,10.7k,10.9k,9380,9360,10.6k,13.1k,12.1k,12.2k,12.2k,13.4k,14k,14k,13.1k,12.1k,12.7k,14.7k,15.1k,16.2k,23.4k,23.8k,15.5k,15.5k,15.5k,41.1k,39.9k,25.8k,25.8k
Albania,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,3000,3000,4720,4930,34,22.3k,3930,521,291,18,24,49,53,56,68,57,69,75,79,84,96,111,109,141,124,132,120,115
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,,,,,,,,,,,,,,,,,,300,300,0,870,870,3200,1200,0,4000,390,390,590,2490,6090,3690,4090,5170,26.4k,0,0,0,70,0,0,0,434,380,409,464,519,532,501,560,554,165,160,106,104,176,161,204,280,538,675,628,602,419,663,888,884,1170,1240,1330
Argentina,,,,,,,,,,,,,,,,,,,32k,35k,34k,33k,37k,47k,46k,41k,35k,26.4k,27.1k,26.5k,26.5k,11.5k,11.5k,11.5k,14k,14k,13.6k,13.6k,12.6k,11.7k,11.5k,11.5k,11.6k,11.9k,10.3k,10.4k,10.5k,2260,2340,2380,2380,2430,2630,2900,3050,3130,3250,2820,3210,3260,3340,3470,3340,3470,3190,3270,3330,3440,3860,4050
Armenia,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300k,334k,304k,219k,219k,219k,310k,296k,281k,264k,248k,239k,235k,220k,114k,4560,3950,3610,3290,2910,2850,13.7k,17.6k,19.3k,17.9k,18k,18k,18k,108k
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0
Australia,180k,0,0,0,0,0,0,0,0,0,0,0,0,0,40k,40k,44k,43k,42k,42k,0,0,0,0,0,0,0,304k,304k,304k,317k,317k,317k,89k,89k,85.9k,87.6k,91k,97.9k,97.9k,53.1k,52.6k,53.5k,57.6k,62.1k,67.3k,66.1k,69.7k,64.9k,60.2k,57.9k,59.4k,56.2k,63.5k,65k,68.9k,22.2k,20.9k,22.5k,21.8k,23.4k,30.1k,34.5k,35.6k,36.9k,42.2k,48.5k,56.9k,58.5k,57.5k
Austria,282k,238k,215k,150k,110k,140k,68k,53k,44k,39k,34k,30k,27k,25k,25k,24.5k,24k,24k,25k,25.3k,25k,25k,25k,25k,20k,25k,20k,20k,25k,15.5k,17.9k,35k,37.3k,39.1k,40.5k,41.2k,41.2k,39.8k,39.4k,34.9k,34.5k,62.4k,57.7k,40.7k,34.4k,89.1k,84.4k,80.3k,82.1k,15.5k,14.4k,14.1k,16.1k,17.8k,21.2k,25.5k,30.8k,37.5k,38.9k,42.6k,47.1k,51.7k,55.6k,60.7k,72.2k,93.2k,115k,129k,136k,142k
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246k,229k,232k,234k,234k,234k,222k,222k,280,363,453,324,8600,3000,2620,2350,2060,1640,1890,1730,1470,1380,1300,1280,1190,1120,1130,1110,1580
Burundi,,,,,,,,,,,30k,30k,34k,78k,65k,79k,79k,72.2k,46.2k,38.8k,33k,43.4k,49k,48.5k,49.5k,49.5k,50k,50.3k,50.5k,235k,235k,253k,254k,274k,267k,268k,268k,268k,267k,268k,270k,272k,272k,300k,173k,20.7k,22k,25.1k,22.1k,27.1k,27.9k,40.5k,41k,48.8k,20.7k,13.2k,24.5k,21.1k,25k,29.4k,35.7k,41.8k,45.5k,52.9k,53.4k,57.5k,62.4k,71.5k,78.5k,75.5k
Belgium,55k,53.5k,53k,53k,53k,65k,69k,63k,58k,55k,53k,51k,50k,47k,47k,40k,34k,33k,30k,31.5k,29k,29k,20k,11.1k,16.8k,17k,17k,17k,32k,33k,35k,21k,35k,36.4k,36.6k,35.9k,22k,23.1k,25.5k,25.9k,24.1k,24.3k,24.9k,19.5k,31.7k,36.1k,36.1k,15.5k,16.7k,18.8k,12.3k,12.6k,12.6k,13.5k,15.3k,16.8k,17.6k,17k,15.5k,17.9k,22.4k,22k,25.6k,29.2k,35.3k,42.2k,42.2k,42.2k,61.7k,65k
Benin,,,,,,,,,,,,,,,,,,,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,50,800,3700,3740,3050,1180,858,456,456,293,156k,70.4k,23.8k,5960,2910,2900,3650,4290,4790,5010,5030,4800,30.3k,10.8k,7610,6930,7200,7140,7210,4960,190,414,526,804,1060,1170,1240,1400
